model,accuracy,precision,recall,f1,seconds
Logistic Regression,0.7974,0.7952045972456158,0.8017181100789132,0.7984480700358138,5.008179426193237
Linear SVM,0.78225,0.7789504833300454,0.7888322844870642,0.7838602412030373,3.7100229263305664
Naive Bayes,0.7782,0.7903948327950828,0.7578663470182799,0.7737888832228454,3.0017502307891846
